run_id,start_ts,end_ts,duration_s,num_samples,kp,ki,kd,mse,cost,tail_mae,negative_overshoot,time_below_0,min_temp,tail_start_index,source_csv
run_1774285139_3dae6b20,1774285141.185227,1774285537.39002,396.204793214798,141,6.0,200.0,5.0,156.19780509051654,95.33950913794492,1.374426526427269,3.0503640174865723,45.89381098747253,-3.0503640174865723,116.0,history\run_1774285139_3dae6b20\bo_runs.csv
run_1774291963_221f4426,1774291964.7426214,1774292561.4417024,596.6990809440613,210,18.0,200.0,5.0,326.650836053902,908.4531341518776,4.659095807125171,9.491284370422363,147.4624171257019,-9.491284370422363,150.0,history\run_1774291963_221f4426\bo_runs.csv
run_1774295693_9f9a2858,1774295694.6809597,1774296292.8911808,598.2102210521698,211,18.0,1000.0,5.0,277.793512382738,590.8842599006526,4.144654950544016,7.638395309448242,164.43879580497742,-7.638395309448242,144.0,history\run_1774295693_9f9a2858\bo_runs.csv
run_1774299259_5eb87608,1774299261.1636531,1774300158.0399132,896.8762600421906,357,6.0,1000.0,5.0,155.88855840815248,120.39132419679984,2.257430000580507,3.294548273086548,479.6705479621887,-3.294548273086548,160.0,history\run_1774299259_5eb87608\bo_runs.csv
run_1774302494_9cf508b8,1774302495.944913,1774303393.7689118,897.8239991664886,355,6.0,1000.0,20.0,149.33535580831236,90.55911301196886,2.19992318269935,2.80611252784729,480.8257319927216,-2.80611252784729,153.0,history\run_1774302494_9cf508b8\bo_runs.csv
run_1774306445_f7f0bc90,1774306446.6790798,1774307343.006081,896.3270015716553,336,25.0,1000.0,20.0,141.98324730782406,1207.6044969443897,8.232545993115643,10.904603958129885,513.403805732727,-10.904603958129885,134.0,history\run_1774306445_f7f0bc90\bo_runs.csv
run_1774316927_61cc30da,1774316929.058406,1774317825.4937887,896.435382604599,303,25.0,500.0,20.0,190.3636262496728,1811.164656712236,9.463189341763895,13.388625144958496,457.43173241615295,-13.388625144958496,139.0,history\run_1774316927_61cc30da\bo_runs.csv
run_1774479752_5ad35a52,1774479753.4265869,1774480555.9002938,802.4737069606781,280,24.0,993.0,7.0,297.5669641433175,396.3256627599259,2.6768078867594403,6.246574401855469,172.59686470031738,-6.246574401855469,205.0,history\run_1774479752_5ad35a52\bo_runs.csv
run_1774482215_cd8c2176,1774482216.3251212,1774483109.6768107,893.3516895771027,223,24.0,993.0,7.0,227.54397097278428,540.2419289823276,4.890576642135094,7.258003234863281,428.2621383666992,-7.258003234863281,165.0,history\run_1774482215_cd8c2176\bo_runs.csv
run_1774487764_1f016bf9,1774487765.608065,1774488662.585302,896.9772374629974,365,24.0,489.0,13.0,230.68731149924287,1174.4876239835514,6.472572073879012,10.773334503173828,368.3844368457794,-10.773334503173828,199.0,history\run_1774487764_1f016bf9\bo_runs.csv
run_1774490984_f904dec2,1774490985.2111323,1774491883.3806112,898.1694786548615,364,24.0,700.0,6.0,173.20639372026486,819.1312786866803,5.689778727869833,8.972261428833008,421.3374242782593,-8.972261428833008,178.0,history\run_1774490984_f904dec2\bo_runs.csv
run_1774494142_da50d843,1774494143.687652,1774495040.9981902,897.3105382919312,364,24.0,782.0,15.0,190.49996095059976,741.133489839674,5.497792579718595,8.53281021118164,377.3598129749298,-8.53281021118164,195.0,history\run_1774494142_da50d843\bo_runs.csv
run_1774555708_7d084b9e,1774555709.4448855,1774556607.0178056,897.572919845581,392,24.0,467.0,8.0,242.0868796374893,1361.241105283132,6.820948452977409,11.60757064819336,353.15966510772705,-11.60757064819336,221.0,history\run_1774555708_7d084b9e\bo_runs.csv
run_1774577693_016c82c8,1774577694.3593144,1774578590.8584611,896.4991466999054,351,34.0,404.0,18.0,205.35006717384763,1330.853930968673,6.658325438286848,11.475866317749023,362.0264050960541,-11.475866317749023,194.0,history\run_1774577693_016c82c8\bo_runs.csv
run_1774582578_2482e903,1774582579.212392,1774583475.5825777,896.3701856136322,349,34.0,976.0,8.0,207.017793833002,817.9864637656935,5.70943115593551,8.972261428833008,363.1140568256378,-8.972261428833008,195.0,history\run_1774582578_2482e903\bo_runs.csv
run_1774587903_f47e5427,1774587904.4109097,1774588802.3202536,897.909343957901,394,25.0,883.0,18.0,235.24622719623383,865.0517982096042,5.4624162409679,9.235897064208984,328.5718080997467,-9.235897064208984,228.0,history\run_1774587903_f47e5427\bo_runs.csv
run_1775164108_b993e7b2,1775164109.5796556,1775165003.3305156,893.7508599758148,313,34.0,404.0,18.0,249.8109625378225,1421.1151213971875,4.860787116248032,11.870996475219728,352.4380567073822,-11.870996475219728,197.0,history\run_1775164108_b993e7b2\bo_runs.csv
run_1775439099_2a20b7d8,1775439100.8650675,1775439998.2769003,897.4118325710297,283,6.0,714.0,10.0,273.48441346218,1033.4303727349625,4.005525881903512,10.114519119262695,319.49383568763733,-10.114519119262695,213.0,completed
run_1775441777_b5861162,1775441782.4588096,1775442677.499199,895.0403890609741,348,6.0,995.0,12.0,133.27959049406732,19.60126133724856,0.7899537416214638,1.0078577995300293,432.6767077445984,-1.0078577995300293,160.0,completed
run_1775445336_a849e910,1775445337.9748287,1775446232.4132328,894.438404083252,167,6.0,981.0,11.0,345.0859959039695,18.580212677742857,0.807322254547706,1.0078577995300293,380.7558491230011,-1.0078577995300293,115.0,completed
run_1775514024_8a045a38,1775514025.4613824,1775514924.079062,898.6176795959473,357,5.0,981.0,11.0,153.11219385018424,14.193716247571649,0.6381232698084944,0.7434768676757812,401.4007225036621,-0.7434768676757812,180.0,completed
run_1775516417_180b6a6a,1775516418.731826,1775517315.170143,896.438316822052,357,6.0,997.0,16.0,179.60146088425333,13.991379631104405,0.6367847974910292,0.7434768676757812,391.3508152961731,-0.7434768676757812,185.0,completed
run_1775518428_b8b37375,1775518429.957881,1775519327.1616805,897.2037994861603,355,6.0,224.0,15.0,189.034502584097,41.05736228173691,0.7242304225300633,1.800889015197754,395.05597043037415,-1.800889015197754,183.0,completed
run_1775539424_eec177a0,1775539425.6098845,1775540322.1766548,896.5667703151703,356,7.0,981.0,11.0,231.4819186300276,23.694434494187504,0.978734032637408,1.2722172737121582,326.51662731170654,-1.2722172737121582,209.0,completed
run_1775838407_4f10b474,1775838409.0122268,1775839307.568762,898.556535243988,351,6.0,997.0,16.0,183.35769745045317,17.537285342574737,0.8021711367039592,0.9637908935546876,372.3092670440674,-0.9637908935546876,188.0,completed
