Date/Time;Temperature;Setpoint Temperature °C;Temperature Control (P) %;Temperature Control (I) %;Temperature Control (D) %
18.01.26 23:33:14;22,87;0,00;-100,00;0,00;0,30
18.01.26 23:33:16;22,82;0,00;-100,00;0,00;0,37
18.01.26 23:33:18;22,82;0,00;-100,00;0,00;0,33
18.01.26 23:33:20;22,82;0,00;-100,00;0,00;0,30
18.01.26 23:33:22;22,82;0,00;-100,00;0,00;0,27
18.01.26 23:33:24;22,77;0,00;-100,00;0,00;0,23
18.01.26 23:33:26;22,77;0,00;-100,00;0,00;0,30
18.01.26 23:33:28;22,77;0,00;-100,00;0,00;0,27
18.01.26 23:33:31;22,77;0,00;-100,00;0,00;0,24
18.01.26 23:33:33;22,77;0,00;-100,00;0,00;0,22
18.01.26 23:33:35;22,77;0,00;-100,00;0,00;0,20
18.01.26 23:33:37;22,77;0,00;-100,00;0,00;0,18
18.01.26 23:33:39;22,72;0,00;-100,00;0,00;0,26
18.01.26 23:33:41;22,77;0,00;-100,00;0,00;0,14
18.01.26 23:33:43;22,72;0,00;-100,00;0,00;0,22
18.01.26 23:33:45;22,72;0,00;-100,00;0,00;0,20
18.01.26 23:33:47;22,72;0,00;-100,00;0,00;0,18
18.01.26 23:33:49;22,77;0,00;-100,00;0,00;0,17
18.01.26 23:33:51;22,72;0,00;-100,00;0,00;0,15
18.01.26 23:33:53;22,72;0,00;-100,00;0,00;0,14
18.01.26 23:33:55;22,72;0,00;-100,00;0,00;0,12
18.01.26 23:33:57;22,72;0,00;-100,00;0,00;0,11
18.01.26 23:33:59;22,72;0,00;-100,00;0,00;0,10
18.01.26 23:34:01;22,72;0,00;-100,00;0,00;0,09
18.01.26 23:34:03;22,72;0,00;-100,00;0,00;0,08
18.01.26 23:34:05;22,72;0,00;-100,00;0,00;0,07
18.01.26 23:34:07;22,72;0,00;-100,00;0,00;0,06
18.01.26 23:34:10;22,72;0,00;-100,00;0,00;0,06
18.01.26 23:34:12;22,72;0,00;-100,00;0,00;0,05
18.01.26 23:34:14;22,72;0,00;-100,00;0,00;0,05
18.01.26 23:34:16;22,72;0,00;-100,00;0,00;0,04
18.01.26 23:34:18;22,72;0,00;-100,00;0,00;0,04
18.01.26 23:34:20;22,72;0,00;-100,00;0,00;0,04
18.01.26 23:34:22;22,72;0,00;-100,00;0,00;0,03
18.01.26 23:34:24;22,72;0,00;-100,00;0,00;0,03
18.01.26 23:34:26;22,72;0,00;-100,00;0,00;0,03
18.01.26 23:34:28;22,72;0,00;-100,00;0,00;0,02
18.01.26 23:34:30;22,67;0,00;-100,00;0,00;0,12
18.01.26 23:34:32;22,67;0,00;-100,00;0,00;0,10
18.01.26 23:34:34;22,67;0,00;-100,00;0,00;0,09
18.01.26 23:34:36;22,62;0,00;-100,00;0,00;0,17
18.01.26 23:34:38;22,62;0,00;-100,00;0,00;0,25
18.01.26 23:34:41;22,52;0,00;-100,00;0,00;0,42
18.01.26 23:34:43;22,47;0,00;-100,00;0,00;0,48
18.01.26 23:34:45;22,37;0,00;-100,00;0,00;0,72
18.01.26 23:34:47;22,27;0,00;-100,00;0,00;0,75
18.01.26 23:34:49;22,12;0,00;-100,00;0,00;1,06
18.01.26 23:34:51;22,02;0,00;-100,00;0,00;1,15
18.01.26 23:34:53;21,82;0,00;-100,00;0,00;1,23
18.01.26 23:34:55;21,72;0,00;-100,00;0,00;1,58
18.01.26 23:34:57;21,42;0,00;-100,00;0,00;1,71
18.01.26 23:34:59;21,17;0,00;-100,00;0,00;2,02
18.01.26 23:35:01;21,02;0,00;-100,00;0,00;2,10
18.01.26 23:35:03;20,67;0,00;-100,00;0,00;2,56
18.01.26 23:35:05;20,52;0,00;-100,00;0,00;2,85
18.01.26 23:35:07;20,17;0,00;-100,00;0,00;3,25
18.01.26 23:35:10;19,97;0,00;-100,00;0,00;3,32
18.01.26 23:35:12;19,57;0,00;-100,00;0,00;3,77
18.01.26 23:35:14;19,37;0,00;-100,00;0,00;3,79
18.01.26 23:35:16;18,97;0,00;-100,00;0,00;4,20
18.01.26 23:35:18;18,77;0,00;-100,00;0,00;4,27
18.01.26 23:35:20;18,32;0,00;-100,00;0,00;4,73
18.01.26 23:35:22;18,07;0,00;-100,00;-0,12;4,66
18.01.26 23:35:24;17,62;0,00;-100,00;-0,35;5,08
18.01.26 23:35:26;17,42;0,00;-100,00;-0,59;5,07
18.01.26 23:35:28;16,92;0,00;-100,00;-0,81;5,55
18.01.26 23:35:30;16,42;0,00;-100,00;-1,03;5,50
18.01.26 23:35:32;15,92;0,00;-100,00;-1,25;5,94
18.01.26 23:35:34;15,67;0,00;-100,00;-1,46;6,06
18.01.26 23:35:36;15,18;0,00;-100,00;-1,67;5,95
18.01.26 23:35:38;14,93;0,00;-99,51;-1,87;6,34
18.01.26 23:35:41;14,43;0,00;-96,18;-2,16;6,21
18.01.26 23:35:43;14,18;0,00;-94,52;-2,35;6,67
18.01.26 23:35:45;13,63;0,00;-90,86;-2,53;6,50
18.01.26 23:35:47;13,38;0,00;-87,54;-2,71;6,84
18.01.26 23:35:49;12,88;0,00;-85,87;-2,88;6,66
18.01.26 23:35:51;12,58;0,00;-82,22;-3,05;7,07
18.01.26 23:35:53;12,33;0,00;-80,56;-3,21;6,87
18.01.26 23:35:55;11,78;0,00;-76,90;-3,37;7,26
18.01.26 23:35:57;11,54;0,00;-75,24;-3,52;7,05
18.01.26 23:35:59;10,99;0,00;-71,58;-3,67;7,43
18.01.26 23:36:01;10,49;0,00;-69,92;-3,81;7,20
18.01.26 23:36:03;9,99;0,00;-66,60;-3,95;7,46
18.01.26 23:36:05;9,74;0,00;-64,94;-4,08;7,37
18.01.26 23:36:07;9,49;0,00;-63,28;-4,21;7,14
18.01.26 23:36:09;8,99;0,00;-59,96;-4,33;7,40
18.01.26 23:36:12;8,75;0,00;-58,30;-4,50;7,17
18.01.26 23:36:14;8,30;0,00;-55,31;-4,61;7,34
18.01.26 23:36:16;8,05;0,00;-53,65;-4,72;7,02
18.01.26 23:36:18;7,60;0,00;-49,34;-4,82;7,20
18.01.26 23:36:20;7,40;0,00;-47,68;-4,92;6,98
18.01.26 23:36:22;6,95;0,00;-45,02;-5,01;7,07
18.01.26 23:36:24;6,75;0,00;-43,37;-5,10;6,87
18.01.26 23:36:26;6,31;0,00;-40,71;-5,18;6,98
18.01.26 23:36:28;6,11;0,00;-39,05;-5,26;6,79
18.01.26 23:36:30;5,46;0,00;-36,40;-5,34;6,90
18.01.26 23:36:32;5,26;0,00;-35,07;-5,41;6,63
18.01.26 23:36:34;4,86;0,00;-32,42;-5,48;6,75
18.01.26 23:36:36;4,71;0,00;-31,42;-5,54;6,47
18.01.26 23:36:38;4,32;0,00;-28,77;-5,60;6,23
18.01.26 23:36:40;4,12;0,00;-27,45;-5,66;6,29
18.01.26 23:36:43;3,77;0,00;-25,12;-5,73;6,07
18.01.26 23:36:45;3,57;0,00;-23,80;-5,78;6,14
18.01.26 23:36:47;3,22;0,00;-21,48;-5,83;5,93
18.01.26 23:36:49;3,07;0,00;-19,16;-5,87;6,03
18.01.26 23:36:51;2,72;0,00;-18,16;-5,90;5,74
18.01.26 23:36:53;2,53;0,00;-15,84;-5,94;5,84
18.01.26 23:36:55;2,23;0,00;-14,85;-5,97;5,57
18.01.26 23:36:57;2,03;0,00;-12,53;-5,99;5,70
18.01.26 23:36:59;1,73;0,00;-11,54;-6,02;5,44
18.01.26 23:37:01;1,43;0,00;-9,55;-6,04;5,49
18.01.26 23:37:03;1,28;0,00;-8,56;-6,06;5,25
18.01.26 23:37:05;1,03;0,00;-6,90;-6,07;5,23
18.01.26 23:37:07;0,89;0,00;-5,91;-6,09;5,06
18.01.26 23:37:09;0,59;0,00;-3,92;-6,10;4,85
18.01.26 23:37:12;0,44;0,00;-2,92;-6,10;4,95
18.01.26 23:37:14;0,14;0,00;-0,94;-6,11;4,76
18.01.26 23:37:16;-0,01;0,00;0,06;-6,11;4,87
18.01.26 23:37:18;-0,26;0,00;1,71;-6,10;4,59
18.01.26 23:37:20;-0,41;0,00;3,37;-6,08;4,62
18.01.26 23:37:22;-0,65;0,00;4,36;-6,06;4,46
18.01.26 23:37:24;-0,75;0,00;5,68;-6,02;4,41
18.01.26 23:37:26;-0,85;0,00;6,35;-5,99;4,18
18.01.26 23:37:28;-1,05;0,00;7,67;-5,95;4,16
18.01.26 23:37:30;-1,15;0,00;8,33;-5,90;3,95
18.01.26 23:37:32;-1,45;0,00;9,66;-5,84;3,96
18.01.26 23:37:34;-1,50;0,00;9,99;-5,78;3,67
18.01.26 23:37:36;-1,70;0,00;11,31;-5,72;3,52
18.01.26 23:37:38;-1,80;0,00;11,97;-5,65;3,55
18.01.26 23:37:40;-1,99;0,00;13,30;-5,57;3,40
18.01.26 23:37:43;-2,09;0,00;13,96;-5,45;3,36
18.01.26 23:37:45;-2,24;0,00;14,95;-5,36;3,22
18.01.26 23:37:47;-2,29;0,00;15,28;-5,27;3,20
18.01.26 23:37:49;-2,49;0,00;16,61;-5,17;3,08
