Date/Time;Volume Temperature, °C;Volume Temperature Setpoint, °C;Temperature Control (P), %;Temperature Control (I), %;Temperature Control (D), %
15.01.26 12:29:20;59,99;60,00;0,10;5,33;0,03
15.01.26 12:29:22;59,99;60,00;0,10;5,33;0,03
15.01.26 12:29:24;59,99;60,00;0,10;5,33;0,03
15.01.26 12:29:26;59,99;60,00;0,10;5,33;0,03
15.01.26 12:29:28;60,04;60,00;-0,41;5,32;-0,12
15.01.26 12:29:31;60,04;60,00;-0,41;5,32;-0,11
15.01.26 12:29:33;59,99;60,00;0,10;5,32;0,04
15.01.26 12:29:35;59,99;60,00;0,10;5,32;0,04
15.01.26 12:29:37;59,99;60,00;0,10;5,32;0,04
15.01.26 12:29:39;59,99;60,00;0,10;5,32;0,03
15.01.26 12:29:41;59,99;60,00;0,10;5,32;0,03
15.01.26 12:29:43;60,04;60,00;-0,41;5,32;0,03
15.01.26 12:29:45;59,99;60,00;0,10;5,32;0,03
15.01.26 12:29:47;60,04;60,00;-0,41;5,32;-0,11
15.01.26 12:29:49;60,04;60,00;-0,41;5,31;-0,10
15.01.26 12:29:51;59,99;60,00;0,10;5,31;0,05
15.01.26 12:29:53;59,99;60,00;0,10;5,31;0,04
15.01.26 12:29:55;59,99;60,00;0,10;5,31;0,04
15.01.26 12:29:57;59,99;60,00;0,10;5,31;0,04
15.01.26 12:29:59;59,99;60,00;0,10;5,31;0,03
15.01.26 12:30:01;59,99;60,00;0,10;5,31;0,03
15.01.26 12:30:03;59,99;60,00;0,10;5,31;0,03
15.01.26 12:30:06;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:08;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:10;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:12;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:14;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:16;59,99;60,00;0,10;5,32;0,01
15.01.26 12:30:18;59,99;60,00;0,10;5,32;0,01
15.01.26 12:30:20;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:22;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:24;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:26;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:28;59,99;60,00;0,10;5,31;0,01
15.01.26 12:30:30;59,99;60,00;0,10;5,31;0,01
15.01.26 12:30:32;59,99;60,00;0,10;5,31;-0,14
15.01.26 12:30:34;60,04;60,00;0,10;5,31;0,02
15.01.26 12:30:36;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:38;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:41;59,99;60,00;0,10;5,31;0,02
15.01.26 12:30:43;59,99;60,00;0,10;5,31;0,01
15.01.26 12:30:45;59,99;60,00;0,10;5,31;0,01
15.01.26 12:30:47;59,99;60,00;0,10;5,31;0,01
15.01.26 12:30:49;59,99;60,00;0,10;5,31;0,01
15.01.26 12:30:51;60,04;60,00;-0,41;5,31;-0,13
15.01.26 12:30:53;60,04;60,00;-0,41;5,31;0,04
15.01.26 12:30:55;59,99;60,00;0,10;5,31;0,03
15.01.26 12:30:57;59,99;60,00;0,10;5,31;0,03
15.01.26 12:30:59;59,99;60,00;0,10;5,31;0,03
15.01.26 12:31:01;59,99;60,00;0,10;5,31;0,02
15.01.26 12:31:03;59,99;60,00;0,10;5,31;0,02
15.01.26 12:31:05;59,99;60,00;0,10;5,31;0,02
15.01.26 12:31:07;59,99;60,00;0,10;5,31;0,02
15.01.26 12:31:09;59,99;60,00;0,10;5,31;0,02
15.01.26 12:31:11;59,99;60,00;0,10;5,31;0,01
15.01.26 12:31:14;59,99;60,00;0,10;5,31;0,01
15.01.26 12:31:16;59,99;60,00;0,10;5,31;0,01
15.01.26 12:31:18;59,99;60,00;0,10;5,31;0,01
15.01.26 12:31:20;60,04;60,00;-0,41;5,31;-0,13
15.01.26 12:31:22;60,04;60,00;-0,41;5,30;-0,12
15.01.26 12:31:24;60,04;60,00;-0,41;5,30;-0,11
15.01.26 12:31:26;59,99;60,00;0,10;5,30;0,04
15.01.26 12:31:28;59,99;60,00;0,10;5,30;0,03
15.01.26 12:31:30;59,99;60,00;0,10;5,30;0,03
15.01.26 12:31:32;59,99;60,00;0,10;5,30;0,03
15.01.26 12:31:34;60,04;60,00;-0,41;5,30;0,03
15.01.26 12:31:36;59,99;60,00;0,10;5,30;-0,11
15.01.26 12:31:38;60,04;60,00;-0,41;5,29;-0,10
15.01.26 12:31:40;60,04;60,00;-0,41;5,29;-0,09
15.01.26 12:31:42;60,04;60,00;-0,41;5,28;-0,08
15.01.26 12:31:44;60,04;60,00;0,10;5,28;0,07
15.01.26 12:31:47;59,99;60,00;0,10;5,28;0,06
15.01.26 12:31:49;59,99;60,00;-0,41;5,28;-0,09
15.01.26 12:31:51;60,04;60,00;-0,41;5,28;-0,08
15.01.26 12:31:53;60,04;60,00;-0,41;5,27;-0,07
15.01.26 12:31:55;59,99;60,00;0,10;5,27;0,08
15.01.26 12:31:57;59,99;60,00;0,10;5,27;0,07
15.01.26 12:31:59;59,99;60,00;0,10;5,27;0,06
15.01.26 12:32:01;59,99;60,00;0,10;5,27;0,05
15.01.26 12:32:03;59,99;60,00;0,10;5,27;0,05
15.01.26 12:32:05;59,99;60,00;0,10;5,27;0,04
15.01.26 12:32:07;59,99;60,00;0,10;5,27;0,04
15.01.26 12:32:09;59,99;60,00;0,10;5,27;0,04
15.01.26 12:32:12;59,99;60,00;0,10;5,27;0,03
15.01.26 12:32:14;59,99;60,00;0,10;5,27;0,03
15.01.26 12:32:16;60,04;60,00;0,10;5,27;0,03
15.01.26 12:32:18;59,99;60,00;0,10;5,27;0,03
